$
$ Global output point data file for multi-grid wave model
$
$ Key to data in file:
$
$   LON      Longitude, east positive
$   LAT      Latitude
$   NAME     Output point name C*10, no blanks in name allowed
$   AH       Anemometer height, dummy value for none-data points
$   TYPE     Buoy type indicator, used for plotting and postprocessing
$             DAT      Data point
$             NBY      'Non-NWS Virtual buoy'
$   SOURCE   Source of data point
$             ENCAN    Environment Canada
$             GOMOOS   Gulf of Maine OOS
$             IDT      Irish Department of Transportation
$             METFR    Meteo France
$             NCEP     Boundary and other data points
$             NDBC     National Data Buoy Center
$             PRIV     Private and incidental data sources
$             SCRIPPS  Scripps
$             UKMO     UK Met Office
$             PDES     Puertos del Estados
$             SHOM     Service Hydrographique et Oceanographique de la Marine
$             OCNOR    Fugro Oceanor
$             WHOI     Woods Hole Oceanographic Institute
$             SKOREA   South Korea
$             MVEW     Ministerie van Verkeer en Waterstaat
   -20.35   63.00  'TFSRT     '  999.   DAT  UNKNOWN   60
     7.80   64.30  'LF3F      '  999.   DAT  UNKNOWN  360
     1.10   55.30  '62026     '  999.   DAT  UNKNOWN  360
     0.00   57.00  '62109     '  999.   DAT  UNKNOWN   25
     0.40   58.10  '62111     '  999.   DAT  UNKNOWN   25
     1.30   58.70  '62112     '  999.   DAT  UNKNOWN   25
     1.40   57.70  '62116     '  999.   DAT  UNKNOWN  360
     0.00   57.90  '62117     '  999.   DAT  UNKNOWN   15
     2.00   57.00  '62119     '  999.   DAT  UNKNOWN   25
     1.40   58.70  '62128     '  999.   DAT  UNKNOWN   25
     2.00   56.40  '62132     '  999.   DAT  UNKNOWN   25
     1.00   57.10  '62133     '  999.   DAT  UNKNOWN   15
     2.10   53.00  '62142     '  999.   DAT  PRIV      30
     1.80   57.70  '62143     '  999.   DAT  UNKNOWN   25
     1.70   53.40  '62144     '  999.   DAT  PRIV      45
     2.80   53.10  '62145     '  999.   DAT  PRIV     360
     1.80   57.00  '62152     '  999.   DAT  UNKNOWN   25
     0.50   57.40  '62162     '  999.   DAT  UNKNOWN   25
     0.50   57.20  '62164     '  999.   DAT  PRIV      15
     1.90   51.10  '62304     '  14.0   DAT  UKMO      25
     1.70   60.60  '63055     '  999.   DAT  UNKNOWN   25
     1.60   59.50  '63056     '  999.   DAT  UNKNOWN   25
     1.50   59.20  '63057     '  999.   DAT  UNKNOWN  360
     1.10   61.20  '63103     '  999.   DAT  UNKNOWN   15
     1.70   60.80  '63108     '  999.   DAT  UNKNOWN   15
     1.50   59.50  '63110     '  999.   DAT  PRIV      15
     1.00   61.10  '63112     '  999.   DAT  PRIV     360
     1.70   61.00  '63113     '  999.   DAT  PRIV     100
     1.30   61.60  '63115     '  999.   DAT  PRIV      25
     2.30   61.20  'LF3J      '  999.   DAT  UNKNOWN   25
     3.70   60.60  'LF4B      '  999.   DAT  UNKNOWN  360
     2.20   59.60  'LF4H      '  999.   DAT  UNKNOWN   25
     1.90   58.40  'LF4C      '  999.   DAT  UNKNOWN   25
     3.20   56.50  'LF5U      '  999.   DAT  UNKNOWN   60
     3.28   51.99  'EURO      '  999.   DAT  MVEW      60
     3.22   53.22  'K13       '  999.   DAT  MVEW      25
    -3.03   43.63  '62024     '  999.   DAT  PDES      25
    -7.62   44.07  '62082     '  999.   DAT  PDES      25
    -9.40   42.12  '62084     '  999.   DAT  PDES      25
    -6.97   36.48  '62085     '  999.   DAT  PDES      25
   -15.82   28.18  '13130     '  999.   DAT  PDES      25
   -16.58   28.00  '13131     '  999.   DAT  PDES      25
     0.90   57.70  '62118     '  999.   DAT  UNKNOWN   15
     2.10   57.10  '62146     '  999.   DAT  UNKNOWN   25
     6.33   55.00  'BSH01     '  999.   DAT  UNKNOWN   60
     7.89   54.16  'BSH02     '  999.   DAT  UNKNOWN   60
     8.12   54.00  'BSH03     '  999.   DAT  UNKNOWN   60
     6.58   54.00  'BSH04     '  999.   DAT  UNKNOWN   60
     8.22   54.92  'BSH05     '  999.   DAT  UNKNOWN   60
$AGET43
$
$AGAC43
$ Arctic Ocean (AC) spectra (4) non-descript (3)
   -25.00   65.69  'TFBLK     '  999.   DAT  UNKNOWN   60
   -18.20   66.50  'TFGRS     '  999.   DAT  UNKNOWN   60
   -13.50   65.65  'TFKGR     '  999.   DAT  UNKNOWN   60
     7.30   65.30  'LF3N      '  999.   DAT  UNKNOWN   60
     8.10   66.00  'LF5T      '  999.   DAT  UNKNOWN  360
     2.00   66.00  'LDWR      '  999.   DAT  UNKNOWN  360
    21.10   71.60  '3FYT      '  999.   DAT  UNKNOWN  360
    15.50   73.50  'LFB1      '  999.   DAT  OCNOR    360
    30.00   74.00  'LFB2      '  999.   DAT  OCNOR    360
    -9.26   68.48  '64071     '  999.   DAT  UNKNOWN   60
  -166.071  70.025 '48012     '   3.0   DAT  NDBC     360
  -169.454  65.011 '48114     ' 999.0   DAT  NDBC     360
  -146.040  70.370 '48211     ' 999.0   DAT  NDBC     360
  -150.279  70.874 '48212     ' 999.0   DAT  NDBC     360
  -164.133  71.502 '48213     ' 999.0   DAT  NDBC     360
  -165.248  70.872 '48214     ' 999.0   DAT  NDBC     360
  -167.952  71.758 '48216     ' 999.0   DAT  NDBC     360
$AGAC43
$
$AGIO45
$ Indian Ocean (I) spectra (4) non-descript (5)
    72.49   17.02  '23092     '  999.   DAT  UNKNOWN   20
    73.75   15.40  '23093     '  999.   DAT  UNKNOWN  120
    74.50   12.94  '23094     '  999.   DAT  UNKNOWN  120
    80.39   13.19  '23096     '  999.   DAT  UNKNOWN  120
    69.24   15.47  '23097     '  999.   DAT  UNKNOWN  360
    72.51   10.65  '23098     '  999.   DAT  UNKNOWN  360
    90.74   12.14  '23099     '  999.   DAT  UNKNOWN  360
    87.56   18.35  '23100     '  999.   DAT  UNKNOWN  120
    83.27   13.97  '23101     '  999.   DAT  UNKNOWN  360
    87.50   15.00  '23168     '  999.   DAT  UNKNOWN  360
    90.14   18.13  '23169     '  999.   DAT  UNKNOWN  360
    72.66    8.33  '23170     '  999.   DAT  UNKNOWN  360
    72.00   12.50  '23172     '  999.   DAT  UNKNOWN  360
    78.57    8.21  '23173     '  999.   DAT  UNKNOWN  120
    81.53   11.57  '23174     '  999.   DAT  UNKNOWN  360
   116.14  -19.59  '56002     '  999.   DAT  UNKNOWN  120
   115.40  -32.11  '56005     '  999.   DAT  UNKNOWN   50
   114.78  -33.36  '56006     '  999.   DAT  UNKNOWN  120
   114.94  -21.41  '56007     '  999.   DAT  UNKNOWN   50
    22.17  -34.97  'AGULHAS_FA'  10.0   DAT  PRIV     360
   121.90  -34.00  '56010     '  999.   DAT  UNKNOWN   50
   114.10  -21.70  '56012     '  999.   DAT  UNKNOWN   50
    85.00   12.60  '23167     '  999.   DAT  UNKNOWN  360
    70.00   11.02  '23171     '  999.   DAT  UNKNOWN  360
    91.66   10.52  '23451     '  999.   DAT  UNKNOWN  120
    89.04   10.97  '23455     '  999.   DAT  UNKNOWN  120
    86.98    9.99  '23456     '  999.   DAT  UNKNOWN  120
    70.10    5.16  '23491     '  999.   DAT  UNKNOWN  120
    68.08   13.89  '23492     '  999.   DAT  UNKNOWN  120
    66.98   11.12  '23493     '  999.   DAT  UNKNOWN  120
    75.00    6.46  '23494     '  999.   DAT  UNKNOWN  120
    68.97    7.13  '23495     '  999.   DAT  UNKNOWN  120
$AGIO45
$
$ END of AWIPS Section
$ 
$ South America DAT
   -77.50    6.26  '32488     '  999.   DAT  DIMAR     45
   -77.74    3.52  '32487     '  999.   DAT  DIMAR     45
   -72.22   12.35  '41193     '  999.   DAT  DIMAR    120
$ Japanese buoys DAT
$ South Korean buoys DAT
   129.78   36.35  '22106     '   999.  DAT  SKOREA    100
   126.33   33.00  '22107     '   999.  DAT  SKOREA    100
$ Africa DAT
    57.70  -20.45  'MAUR01    '  999.   DAT  WMO      360
    57.75  -20.10  'MAUR02    '  999.   DAT  WMO      360
$ End of multi_1 buoy file
$
     0.00    0.00  'STOPSTRING'  999.   XXX  NCEP       0
